region_name,county_name,parish_name,candidate_name,candidate_votes_percentage,candidate_votes_count,parish_voters_percentage,parish_voters_count,parish_blank_percentage,parish_blank_count,parish_null_percentage,parish_null_count
Açores,Angra do Heroísmo,Altares,Marcelo Rebelo de Sousa,75.49,271,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,André Ventura,11.42,41,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,Ana Gomes,6.96,25,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,Marisa Matias,3.34,12,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,Tiago Mayan Gonçalves,1.11,4,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,João Ferreira,1.11,4,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Altares,Vitorino Silva,0.56,2,44.76,367,1.63,6,0.54,2
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Marcelo Rebelo de Sousa,64.02,845,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Ana Gomes,13.56,179,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),André Ventura,10.76,142,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Marisa Matias,4.77,63,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),João Ferreira,2.42,32,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Vitorino Silva,2.27,30,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Tiago Mayan Gonçalves,2.2,29,36.43,1364,1.91,26,1.32,18
Açores,Angra do Heroísmo,Angra (Santa Luzia),Marcelo Rebelo de Sousa,65.95,645,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),Ana Gomes,14.83,145,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),André Ventura,9.0,88,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),Marisa Matias,3.78,37,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),Tiago Mayan Gonçalves,2.35,23,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),João Ferreira,2.25,22,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (Santa Luzia),Vitorino Silva,1.84,18,43.21,1006,1.89,19,0.89,9
Açores,Angra do Heroísmo,Angra (São Pedro),Marcelo Rebelo de Sousa,62.1,962,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),Ana Gomes,16.91,262,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),André Ventura,9.94,154,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),Marisa Matias,4.0,62,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),Tiago Mayan Gonçalves,3.03,47,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),João Ferreira,2.52,39,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (São Pedro),Vitorino Silva,1.48,23,47.71,1583,1.45,23,0.69,11
Açores,Angra do Heroísmo,Angra (Sé),Marcelo Rebelo de Sousa,62.39,345,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),Ana Gomes,13.2,73,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),André Ventura,11.75,65,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),Tiago Mayan Gonçalves,5.24,29,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),Marisa Matias,4.16,23,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),João Ferreira,1.81,10,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Angra (Sé),Vitorino Silva,1.45,8,52.13,562,1.25,7,0.36,2
Açores,Angra do Heroísmo,Cinco Ribeiras,Marcelo Rebelo de Sousa,73.62,226,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,André Ventura,10.42,32,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,Ana Gomes,7.49,23,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,Vitorino Silva,3.91,12,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,João Ferreira,2.28,7,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,Marisa Matias,1.95,6,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Cinco Ribeiras,Tiago Mayan Gonçalves,0.33,1,48.62,316,1.58,5,1.27,4
Açores,Angra do Heroísmo,Doze Ribeiras,Marcelo Rebelo de Sousa,77.78,147,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,Ana Gomes,7.41,14,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,André Ventura,6.35,12,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,Marisa Matias,3.17,6,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,João Ferreira,3.17,6,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,Tiago Mayan Gonçalves,1.06,2,43.26,199,3.52,7,1.51,3
